generated3.atsp;345;0;0-1-2-0
generated4.atsp;613;0;0-1-2-3-0
generated5.atsp;800;1;0-2-1-3-4-0
generated6.atsp;733;2;2-4-3-0-1-5-2
generated7.atsp;741;3;0-1-2-4-3-5-6-0
generated8.atsp;969;4;0-1-2-3-5-4-6-7-0
generated9.atsp;1056;5;0-7-2-3-4-8-6-1-5-0
generated10.atsp;1213;7;0-4-2-5-9-1-6-7-8-3-0
generated11.atsp;1144;8;0-4-2-10-1-8-6-7-5-9-3-0
generated12.atsp;888;10;8-1-5-3-9-7-2-11-4-6-10-0-8
generated13.atsp;1132;12;3-1-6-7-4-12-2-0-8-5-10-11-9-3
generated14.atsp;1318;13;4-1-2-3-0-11-13-10-8-9-7-5-12-6-4
generated15.atsp;1094;16;5-1-14-11-4-0-6-8-7-10-9-3-12-13-2-5
generated16.atsp;1369;18;0-1-2-11-4-14-6-7-10-9-8-3-12-13-5-15-0
generated17.atsp;1381;21;15-1-4-3-16-5-6-12-8-9-0-11-7-13-14-10-2-15
generated18.atsp;1154;24;13-1-16-4-0-10-6-17-3-9-5-11-12-8-7-15-14-2-13
generated19.atsp;1558;28;13-1-6-3-4-5-10-7-11-8-14-0-9-17-2-15-16-12-18-13
generated20.atsp;1606;30;0-18-3-19-6-9-4-8-7-2-10-11-12-13-14-15-5-17-1-16-0
generated21.atsp;2044;32;19-1-2-14-8-5-15-7-4-9-10-11-12-13-3-16-6-17-18-0-20-19
generated22.atsp;1449;37;5-7-14-17-4-8-6-1-20-9-10-11-16-13-12-15-2-3-18-19-0-21-5
generated23.atsp;1599;41;14-1-20-2-5-4-8-7-6-9-10-21-11-13-0-16-12-17-18-19-3-15-22-14
generated24.atsp;1858;45;0-6-19-3-13-4-1-7-8-10-5-15-12-21-14-11-22-17-9-2-20-18-16-23-0
generated25.atsp;1896;49;7-21-2-3-10-12-6-0-17-22-4-11-9-15-14-18-16-8-13-19-20-23-5-1-24-7
generated26.atsp;1852;52;0-21-16-3-4-6-5-14-23-9-10-11-12-25-7-15-2-17-18-19-20-13-1-8-24-22-0
