generated3.tsp;549;0;0-2-1-0;549;0;0-2-1-0;549;0;
generated4.tsp;1178;0;1-0-3-2-1;1178;0;1-0-3-2-1;1178;0;
generated5.tsp;1163;0;0-1-2-4-3-0;1163;0;0-1-2-4-3-0;1163;0;
generated6.tsp;1195;0;2-0-4-5-1-3-2;1195;0;2-0-4-5-1-3-2;1195;0;
generated7.tsp;809;0;0-1-2-4-5-3-6-0;809;0;0-1-2-4-5-3-6-0;809;0;
generated8.tsp;1411;0;0-4-7-5-1-6-3-2-0;1396;1;0-4-2-6-3-7-5-1-0;1407;0;
generated9.tsp;979;1;7-4-0-5-1-6-2-8-3-7;979;1;7-4-0-5-1-6-2-8-3-7;979;1;
generated10.tsp;674;1;0-5-1-6-4-3-9-2-7-8-0;666;2;5-6-1-8-7-2-9-3-4-0-5;673;1;
generated11.tsp;1270;1;2-6-9-1-5-8-3-7-4-0-10-2;1091;5;8-2-6-9-5-1-7-4-10-0-3-8;1162;3;
generated12.tsp;908;2;11-1-9-4-6-8-2-5-10-7-0-3-11;722;5;9-1-11-0-7-10-5-6-8-2-3-4-9;846;3;
generated13.tsp;1027;2;0-6-9-1-8-4-2-3-10-11-12-7-5-0;931;5;11-12-2-3-9-6-0-4-8-1-5-7-10-11;1013;2;
generated14.tsp;733;2;0-3-7-2-11-8-1-10-9-12-6-4-5-13-0;633;6;0-11-8-1-10-4-9-12-6-13-5-2-7-3-0;730;3;
generated15.tsp;1076;3;0-9-13-2-3-10-6-11-1-4-8-7-12-14-5-0;813;5;13-9-0-14-5-3-10-6-11-1-4-8-7-12-2-13;1062;3;
generated16.tsp;830;4;10-12-6-9-15-2-4-5-8-1-7-11-14-3-0-13-10;708;6;10-12-6-9-15-0-13-14-3-8-5-4-2-11-7-1-10;819;4;
generated17.tsp;1337;4;0-3-15-14-16-6-2-12-10-5-7-13-11-8-1-9-4-0;1159;9;4-9-14-15-12-2-7-13-16-6-5-10-1-3-0-8-11-4;1315;5;
generated18.tsp;1129;5;0-13-2-17-5-10-7-9-3-1-4-16-14-8-15-6-11-12-0;944;10;4-17-5-10-7-9-2-13-0-16-14-8-15-3-6-12-11-1-4;1121;5;
generated19.tsp;1709;6;4-0-8-11-16-15-3-1-10-9-12-2-6-7-17-14-13-5-18-4;1702;11;2-12-11-10-9-14-17-7-18-4-0-8-13-5-16-15-3-1-6-2;1708;6;
generated20.tsp;1208;7;6-1-4-2-12-14-15-10-19-11-16-9-18-5-3-8-7-17-13-0-6;1099;11;11-19-10-14-15-18-5-3-8-13-17-7-9-12-2-1-4-0-6-16-11;1204;7;
generated21.tsp;1312;7;0-4-13-12-20-18-17-9-15-1-14-19-3-5-7-8-10-2-6-11-16-0;983;20;2-14-1-15-9-17-4-0-16-6-11-13-20-12-7-5-3-19-18-10-8-2;1292;8;
generated22.tsp;1450;8;0-15-7-9-6-19-13-2-5-21-12-17-20-8-11-3-4-16-14-1-10-18-0;1155;16;7-12-0-6-19-21-13-18-11-8-20-4-17-14-1-10-16-15-3-2-5-9-7;1414;11;
generated23.tsp;1605;9;0-5-15-19-20-12-2-8-17-11-4-3-14-6-21-9-18-13-10-16-1-22-7-0;1302;21;11-4-8-6-14-20-12-15-13-21-19-17-10-18-1-22-3-16-2-9-0-5-7-11;1553;12;
generated24.tsp;1400;10;0-16-11-14-17-3-8-10-9-13-2-19-4-12-15-23-18-21-5-22-1-20-6-7-0;1325;16;1-22-23-16-11-5-0-7-6-18-21-8-10-9-20-2-14-17-3-13-15-12-4-19-1;1399;10;
generated25.tsp;1310;11;0-3-16-14-13-23-7-24-8-20-19-21-18-22-9-12-17-4-11-2-5-1-15-6-10-0;1237;21;2-11-24-1-15-18-22-9-12-13-23-7-10-0-6-19-21-14-5-4-17-3-16-8-20-2;1307;11;
generated26.tsp;995;12;22-1-8-10-7-19-9-12-13-2-5-4-21-14-20-15-6-24-3-25-11-16-18-17-0-23-22;995;12;22-1-8-10-7-19-9-12-13-2-5-4-21-14-20-15-6-24-3-25-11-16-18-17-0-23-22;995;12;
